"","year_month","Species","Abundance"
"651","2021 a","Tripterygiidae sp.",14
"652","2021 a","Variola louti",5
"653","2021 a","Zebrasoma desjardinii",4
"654","2021 a","Zebrasoma xanthurum",113
"655","2022 b","Abudefduf sexfasciatus",24
"656","2022 b","Abudefduf vaigiensis",11
"657","2022 b","Acanthurus nigrofuscus",54
"658","2022 b","Aethaloperca rogaa",6
"659","2022 b","Alloblennius pictus",9
"660","2022 b","Amblyglyphidodon flavilatus",50
"661","2022 b","Amblyglyphidodon indicus",449
"662","2022 b","Amblygobius albimaculatus",1
"663","2022 b","Amphiprion bicinctus",11
"664","2022 b","Anampses meleagrides",2
"665","2022 b","Anampses twistii",1
"666","2022 b","Apolemichthys xanthotis",1
"667","2022 b","Arothron diadematus",5
"668","2022 b","Balistapus undulatus",3
"669","2022 b","Bodianus anthioides",3
"670","2022 b","Caesio lunaris",3
"671","2022 b","Caesio suevica",1
"672","2022 b","Caesio varilineata",1
"673","2022 b","Calotomus viridescens",6
"674","2022 b","Cantherhines pardalis",2
"675","2022 b","Canthigaster cyanospilota",3
"676","2022 b","Canthigaster margaritata",1
"677","2022 b","Centropyge multispinis",31
"678","2022 b","Cephalopholis hemistiktos",25
"679","2022 b","Cephalopholis miniata",37
"680","2022 b","Cetoscarus bicolor",1
"681","2022 b","Chaetodon auriga",2
"682","2022 b","Chaetodon austriacus",5
"683","2022 b","Chaetodon fasciatus",21
"684","2022 b","Chaetodon paucifasciatus",12
"685","2022 b","Cheilinus abudjubbe",1
"686","2022 b","Cheilinus lunulatus",9
"687","2022 b","Cheilodipterus lachneri",17
"688","2022 b","Cheilodipterus macrodon",2
"689","2022 b","Cheilodipterus novemstriatus",2172
"690","2022 b","Cheilodipterus quinquelineatus",345
"691","2022 b","Chlorurus gibbus",5
"692","2022 b","Chlorurus sordidus",10
"693","2022 b","Chromis flavaxilla",52
"694","2022 b","Chromis pembae",1
"695","2022 b","Chromis ternatensis",1
"696","2022 b","Chromis viridis",2608
"697","2022 b","Chromis weberi",1
"698","2022 b","Chrysiptera unimaculata",1
"699","2022 b","Cirrhitichthys oxycephalus",2
"700","2022 b","Cirripectes castaneus",9
"701","2022 b","Coris aygula",6
"702","2022 b","Coris caudimacula",5
"703","2022 b","Coris variegata",3
"704","2022 b","Corythoichthys flavofasciatus",18
"705","2022 b","Corythoichthys nigripectus",2
"706","2022 b","Corythoichthys schultzi",2
"707","2022 b","Ctenochaetus striatus",35
"708","2022 b","Cyclichthys spilostylus",7
"709","2022 b","Dascyllus abudafur",4
"710","2022 b","Dascyllus marginatus",91
"711","2022 b","Dascyllus trimaculatus",91
"712","2022 b","Dunckerocampus multiannulatus",1
"713","2022 b","Ecsenius aroni",4
"714","2022 b","Ecsenius frontalis",53
"715","2022 b","Ecsenius gravieri",21
"716","2022 b","Ecsenius nalolo",22
"717","2022 b","Enneapterygius pusillus",3
"718","2022 b","Epinephelus fasciatus",32
"719","2022 b","Epinephelus tauvina",5
"720","2022 b","Eviota guttata",143
"721","2022 b","Eviota prasina",15
"722","2022 b","Eviota punyit",132
"723","2022 b","Eviota zebrina",23
"724","2022 b","Fusigobius longispinus",7
"725","2022 b","Fusigobius neophytus",53
"726","2022 b","Gerres oyena",4
"727","2022 b","Gnatholepis anjerensis",449
"728","2022 b","Gobiodon citrinus",10
"729","2022 b","Gobiodon reticulatus",29
"730","2022 b","Gobiodon rivulatus",7
"731","2022 b","Gomphosus caeruleus",6
"732","2022 b","Grammistes sexlineatus",5
"733","2022 b","Gymnothorax flavimarginatus",1
"734","2022 b","Gymnothorax griseus",3
"735","2022 b","Gymnothorax johnsoni",1
"736","2022 b","Gymnothorax nudivomer",2
"737","2022 b","Halichoeres hortulanus",3
"738","2022 b","Haliophis guttatus",2
"739","2022 b","Hemigymnus sexfasciatus",3
"740","2022 b","Heniochus intermedius",7
"741","2022 b","Hipposcarus harid",3
"742","2022 b","Istigobius decoratus",163
"743","2022 b","Labroides dimidiatus",28
"744","2022 b","Larabicus quadrilineatus",40
"745","2022 b","Lethrinus borbonicus",7
"746","2022 b","Lethrinus mahsena",3
"747","2022 b","Lotilia graciliosa",3
"748","2022 b","Macropharyngodon marisrubri",1
"749","2022 b","Meiacanthus nigrolineatus",6
"750","2022 b","Monotaxis grandoculis",2
"751","2022 b","Myrichthys maculosus",1
"752","2022 b","Myripristis murdjan",23
"753","2022 b","Nectamia annularis",12
"754","2022 b","Neoglyphidodon melas",2
"755","2022 b","Neoniphon sammara",1
"756","2022 b","Neopomacentrus miryae",208
"757","2022 b","Odonus niger",2
"758","2022 b","Ostorhinchus cyanosoma",2050
"759","2022 b","Ostorhinchus nigrofasciatus",18
"760","2022 b","Ostracion cubicum",3
"761","2022 b","Ostracion cyanurus",1
"762","2022 b","Oxymonacanthus halli",2
"763","2022 b","Paracheilinus octotaenia",12
"764","2022 b","Paracirrhites forsteri",2
"765","2022 b","Parupeneus cyclostomus",7
"766","2022 b","Parupeneus forsskali",61
"767","2022 b","Parupeneus macronemus",3
"768","2022 b","Parupeneus rubescens",1
"769","2022 b","Plagiotremus tapeinosoma",3
"770","2022 b","Pleurosicya micheli",6
"771","2022 b","Pomacanthus imperator",1
"772","2022 b","Pomacentrus sulfureus",44
"773","2022 b","Pomacentrus trichrourus",322
"774","2022 b","Pomacentrus trilineatus",11
"775","2022 b","Pristiapogon exostigma",26
"776","2022 b","Pseudanthias squamipinnis",3888
"777","2022 b","Pseudocheilinus hexataenia",89
"778","2022 b","Pseudochromis fridmani",164
"779","2022 b","Pseudochromis olivaceus",110
"780","2022 b","Pseudochromis springeri",44
"781","2022 b","Pterois miles",9
"782","2022 b","Pterois radiata",11
"783","2022 b","Pycnochromis dimidiatus",278
"784","2022 b","Rhinecanthus assasi",3
"785","2022 b","Sargocentron caudimaculatum",12
"786","2022 b","Sargocentron diadema",2
"787","2022 b","Sargocentron rubrum",1
"788","2022 b","Saurida gracilis",7
"789","2022 b","Scarus collana",1
"790","2022 b","Scarus ferrugineus",13
"791","2022 b","Scarus fuscopurpureus",9
"792","2022 b","Scarus niger",5
"793","2022 b","Scarus psittacus",1
"794","2022 b","Scolopsis ghanam",24
"795","2022 b","Scorpaenopsis diabolus",1
"796","2022 b","Sebastapistes cyanostigma",5
"797","2022 b","Siganus luridus",15
"798","2022 b","Siganus rivulatus",5
"799","2022 b","Siganus stellatus",1
"800","2022 b","Stegastes lacrymatus",10
"801","2022 b","Stethojulis albovittata",4
"802","2022 b","Sufflamen albicaudatum",12
"803","2022 b","Synodus variegatus",7
"804","2022 b","Taeniamia fucata",3
"805","2022 b","Thalassoma lunare",6
"806","2022 b","Thalassoma rueppellii",228
"807","2022 b","Trimma avidori",13
"808","2022 b","Trimma barralli",2
"809","2022 b","Trimma flavicaudatum",1
"810","2022 b","Tripterygiidae sp.",8
"811","2022 b","Tylosurus choram",6
"812","2022 b","Variola louti",5
"813","2022 b","Zebrasoma desjardinii",4
"814","2022 b","Zebrasoma xanthurum",92
