"","Site","year_month","Species","Abundance"
"546","Katza","2018 b","Scarus fuscopurpureus",4
"547","Katza","2018 b","Scarus niger",2
"548","Katza","2018 b","Scolopsis ghanam",4
"549","Katza","2018 b","Siganus luridus",1
"550","Katza","2018 b","Stegastes lacrymatus",4
"551","Katza","2018 b","Stethojulis albovittata",3
"552","Katza","2018 b","Stethojulis interrupta",1
"553","Katza","2018 b","Sufflamen albicaudatum",3
"554","Katza","2018 b","Synodus variegatus",8
"555","Katza","2018 b","Thalassoma lunare",3
"556","Katza","2018 b","Thalassoma rueppellii",55
"557","Katza","2018 b","Variola louti",6
"558","Katza","2018 b","Zebrasoma desjardinii",7
"559","Katza","2018 b","Zebrasoma xanthurum",33
"560","Katza","2020 a","Abudefduf vaigiensis",4
"561","Katza","2020 a","Acanthurus nigrofuscus",10
"562","Katza","2020 a","Aethaloperca rogaa",1
"563","Katza","2020 a","Amblyglyphidodon indicus",3
"564","Katza","2020 a","Amphiprion bicinctus",2
"565","Katza","2020 a","Anampses meleagrides",3
"566","Katza","2020 a","Arothron diadematus",2
"567","Katza","2020 a","Cantherhines pardalis",1
"568","Katza","2020 a","Canthigaster margaritata",1
"569","Katza","2020 a","Centropyge multispinis",2
"570","Katza","2020 a","Cephalopholis miniata",6
"571","Katza","2020 a","Chaetodon auriga",4
"572","Katza","2020 a","Chaetodon austriacus",2
"573","Katza","2020 a","Chaetodon paucifasciatus",3
"574","Katza","2020 a","Cheilodipterus lachneri",2
"575","Katza","2020 a","Cheilodipterus novemstriatus",55
"576","Katza","2020 a","Cheilodipterus quinquelineatus",2
"577","Katza","2020 a","Chromis flavaxilla",3
"578","Katza","2020 a","Chromis viridis",406
"579","Katza","2020 a","Coris aygula",5
"580","Katza","2020 a","Coris caudimacula",8
"581","Katza","2020 a","Coris variegata",1
"582","Katza","2020 a","Corythoichthys flavofasciatus",9
"583","Katza","2020 a","Corythoichthys schultzi",5
"584","Katza","2020 a","Ctenochaetus striatus",6
"585","Katza","2020 a","Cyclichthys spilostylus",1
"586","Katza","2020 a","Dascyllus marginatus",14
"587","Katza","2020 a","Dascyllus trimaculatus",28
"588","Katza","2020 a","Diplodus noct",4
"589","Katza","2020 a","Ecsenius aroni",1
"590","Katza","2020 a","Ecsenius frontalis",2
"591","Katza","2020 a","Ecsenius gravieri",4
"592","Katza","2020 a","Epinephelus fasciatus",6
"593","Katza","2020 a","Eviota guttata",1
"594","Katza","2020 a","Gnatholepis anjerensis",3
"595","Katza","2020 a","Gobiodon citrinus",9
"596","Katza","2020 a","Gobiodon reticulatus",4
"597","Katza","2020 a","Gobiodon rivulatus",2
"598","Katza","2020 a","Gomphosus caeruleus",5
"599","Katza","2020 a","Grammistes sexlineatus",1
"600","Katza","2020 a","Gymnothorax flavimarginatus",1
"601","Katza","2020 a","Istigobius decoratus",6
"602","Katza","2020 a","Labroides dimidiatus",4
"603","Katza","2020 a","Lethrinus nebulosus",1
"604","Katza","2020 a","Meiacanthus nigrolineatus",1
"605","Katza","2020 a","Myripristis murdjan",1
"606","Katza","2020 a","Neopomacentrus miryae",286
"607","Katza","2020 a","Ostorhinchus cyanosoma",26
"608","Katza","2020 a","Ostorhinchus nigrofasciatus",1
"609","Katza","2020 a","Ostracion cyanurus",3
"610","Katza","2020 a","Parapercis hexophtalma",3
"611","Katza","2020 a","Plagiotremus tapeinosoma",1
"612","Katza","2020 a","Pomacentrus sulfureus",3
"613","Katza","2020 a","Pomacentrus trichrourus",39
"614","Katza","2020 a","Pseudanthias squamipinnis",348
"615","Katza","2020 a","Pseudocheilinus evanidus",2
"616","Katza","2020 a","Pseudocheilinus hexataenia",10
"617","Katza","2020 a","Pseudochromis fridmani",2
"618","Katza","2020 a","Pseudochromis olivaceus",16
"619","Katza","2020 a","Pseudochromis springeri",5
"620","Katza","2020 a","Pterois miles",1
"621","Katza","2020 a","Pterois radiata",1
"622","Katza","2020 a","Pycnochromis dimidiatus",17
"623","Katza","2020 a","Sargocentron caudimaculatum",1
"624","Katza","2020 a","Saurida gracilis",1
"625","Katza","2020 a","Scarus ferrugineus",4
"626","Katza","2020 a","Scarus niger",1
"627","Katza","2020 a","Sebastapistes cyanostigma",1
"628","Katza","2020 a","Siganus rivulatus",2
"629","Katza","2020 a","Stethojulis albovittata",1
"630","Katza","2020 a","Sufflamen albicaudatum",3
"631","Katza","2020 a","Synodus variegatus",6
"632","Katza","2020 a","Thalassoma rueppellii",37
"633","Katza","2020 a","Tylosurus choram",1
"634","Katza","2020 a","Variola louti",2
"635","Katza","2020 a","Zebrasoma xanthurum",22
"636","Katza","2020 b","Abudefduf sexfasciatus",2
"637","Katza","2020 b","Abudefduf vaigiensis",17
"638","Katza","2020 b","Acanthurus nigrofuscus",40
"639","Katza","2020 b","Aethaloperca rogaa",1
"640","Katza","2020 b","Alloblennius pictus",1
"641","Katza","2020 b","Amblyeleotris steinitzi",1
"642","Katza","2020 b","Amblyglyphidodon flavilatus",7
"643","Katza","2020 b","Amblyglyphidodon indicus",54
"644","Katza","2020 b","Amblygobius albimaculatus",1
"645","Katza","2020 b","Amphiprion bicinctus",2
"646","Katza","2020 b","Anampses meleagrides",2
"647","Katza","2020 b","Antennarius commerson",1
"648","Katza","2020 b","Atrosalarias fuscus",2
"649","Katza","2020 b","Balistapus undulatus",2
"650","Katza","2020 b","Bodianus anthioides",2
"651","Katza","2020 b","Centropyge multispinis",5
"652","Katza","2020 b","Cephalopholis hemistiktos",4
"653","Katza","2020 b","Cephalopholis miniata",10
"654","Katza","2020 b","Cetoscarus bicolor",1
"655","Katza","2020 b","Chaetodon auriga",2
"656","Katza","2020 b","Chaetodon austriacus",2
"657","Katza","2020 b","Chaetodon fasciatus",3
"658","Katza","2020 b","Chaetodon paucifasciatus",1
"659","Katza","2020 b","Chaetodon trifascialis",2
"660","Katza","2020 b","Cheilinus lunulatus",1
"661","Katza","2020 b","Cheilodipterus lachneri",5
"662","Katza","2020 b","Cheilodipterus macrodon",1
"663","Katza","2020 b","Cheilodipterus novemstriatus",802
"664","Katza","2020 b","Cheilodipterus quinquelineatus",577
"665","Katza","2020 b","Chlorurus gibbus",4
"666","Katza","2020 b","Chlorurus sordidus",14
"667","Katza","2020 b","Chromis flavaxilla",45
"668","Katza","2020 b","Chromis viridis",538
"669","Katza","2020 b","Chrysiptera unimaculata",1
"670","Katza","2020 b","Cirripectes castaneus",5
"671","Katza","2020 b","Coris aygula",3
"672","Katza","2020 b","Coris caudimacula",4
"673","Katza","2020 b","Corythoichthys flavofasciatus",12
"674","Katza","2020 b","Corythoichthys schultzi",6
"675","Katza","2020 b","Ctenochaetus striatus",18
"676","Katza","2020 b","Cyclichthys spilostylus",5
"677","Katza","2020 b","Dascyllus marginatus",19
"678","Katza","2020 b","Dascyllus trimaculatus",53
"679","Katza","2020 b","Ecsenius aroni",11
"680","Katza","2020 b","Ecsenius frontalis",25
"681","Katza","2020 b","Ecsenius gravieri",4
"682","Katza","2020 b","Ecsenius nalolo",22
"683","Katza","2020 b","Epinephelus fasciatus",21
"684","Katza","2020 b","Epinephelus tauvina",1
"685","Katza","2020 b","Eviota guttata",70
"686","Katza","2020 b","Eviota punyit",1
"687","Katza","2020 b","Eviota zebrina",5
"688","Katza","2020 b","Exallias brevis",1
"689","Katza","2020 b","Gerres oyena",9
"690","Katza","2020 b","Gnatholepis anjerensis",20
"691","Katza","2020 b","Gobiodon citrinus",15
"692","Katza","2020 b","Gobiodon reticulatus",21
"693","Katza","2020 b","Gobiodon rivulatus",4
"694","Katza","2020 b","Gomphosus caeruleus",15
"695","Katza","2020 b","Grammistes sexlineatus",2
"696","Katza","2020 b","Gymnothorax griseus",2
"697","Katza","2020 b","Halichoeres marginatus",2
"698","Katza","2020 b","Hipposcarus harid",1
"699","Katza","2020 b","Hyporhamphus gamberur",1
"700","Katza","2020 b","Istigobius decoratus",172
"701","Katza","2020 b","Koumansetta hectori",1
"702","Katza","2020 b","Labroides dimidiatus",8
"703","Katza","2020 b","Larabicus quadrilineatus",10
"704","Katza","2020 b","Lethrinus borbonicus",3
"705","Katza","2020 b","Lotilia graciliosa",1
"706","Katza","2020 b","Meiacanthus nigrolineatus",2
"707","Katza","2020 b","Mulloidichthys flavolineatus",70
"708","Katza","2020 b","Mulloidichthys vanicolensis",15
"709","Katza","2020 b","Myripristis murdjan",15
"710","Katza","2020 b","Nectamia annularis",2
"711","Katza","2020 b","Nectamia zebrina",1
"712","Katza","2020 b","Neoglyphidodon melas",2
"713","Katza","2020 b","Neoniphon sammara",3
"714","Katza","2020 b","Neopomacentrus miryae",194
"715","Katza","2020 b","Ostorhinchus cyanosoma",796
"716","Katza","2020 b","Ostorhinchus fleurieu",1
"717","Katza","2020 b","Ostorhinchus nigrofasciatus",7
"718","Katza","2020 b","Ostracion cubicum",4
"719","Katza","2020 b","Ostracion cyanurus",2
"720","Katza","2020 b","Oxymonacanthus halli",1
"721","Katza","2020 b","Paracheilinus octotaenia",11
"722","Katza","2020 b","Parupeneus cyclostomus",3
"723","Katza","2020 b","Parupeneus forsskali",65
"724","Katza","2020 b","Parupeneus macronemus",19
"725","Katza","2020 b","Plagiotremus tapeinosoma",3
"726","Katza","2020 b","Pomacanthus imperator",1
"727","Katza","2020 b","Pomacentrus sulfureus",10
"728","Katza","2020 b","Pomacentrus trichrourus",108
"729","Katza","2020 b","Pomacentrus trilineatus",2
"730","Katza","2020 b","Pristiapogon exostigma",11
"731","Katza","2020 b","Pseudanthias squamipinnis",342
"732","Katza","2020 b","Pseudobalistes fuscus",1
"733","Katza","2020 b","Pseudocheilinus hexataenia",35
"734","Katza","2020 b","Pseudochromis fridmani",9
"735","Katza","2020 b","Pseudochromis olivaceus",52
"736","Katza","2020 b","Pseudochromis pesi",1
"737","Katza","2020 b","Pseudochromis springeri",16
"738","Katza","2020 b","Pterois miles",12
"739","Katza","2020 b","Pterois radiata",3
"740","Katza","2020 b","Pycnochromis dimidiatus",22
"741","Katza","2020 b","Pygoplites diacanthus",1
"742","Katza","2020 b","Sargocentron caudimaculatum",3
"743","Katza","2020 b","Sargocentron diadema",8
"744","Katza","2020 b","Sargocentron rubrum",1
"745","Katza","2020 b","Saurida gracilis",2
"746","Katza","2020 b","Scarus ferrugineus",4
"747","Katza","2020 b","Scarus fuscopurpureus",5
"748","Katza","2020 b","Scarus niger",3
"749","Katza","2020 b","Scolopsis ghanam",37
"750","Katza","2020 b","Scorpaenopsis diabolus",1
"751","Katza","2020 b","Sebastapistes cyanostigma",2
"752","Katza","2020 b","Siganus luridus",1
"753","Katza","2020 b","Siganus rivulatus",3
"754","Katza","2020 b","Stegastes lacrymatus",4
"755","Katza","2020 b","Stethojulis albovittata",3
"756","Katza","2020 b","Sufflamen albicaudatum",6
"757","Katza","2020 b","Synodus variegatus",25
"758","Katza","2020 b","Taeniura lymma",1
"759","Katza","2020 b","Thalassoma lunare",2
"760","Katza","2020 b","Thalassoma rueppellii",92
"761","Katza","2020 b","Trimma barralli",2
"762","Katza","2020 b","Tripterygiidae sp.",2
"763","Katza","2020 b","Variola louti",2
"764","Katza","2020 b","Zebrasoma desjardinii",1
"765","Katza","2020 b","Zebrasoma xanthurum",45
"766","Katza","2021 a","Abudefduf vaigiensis",38
"767","Katza","2021 a","Acanthurus nigrofuscus",32
"768","Katza","2021 a","Amblyglyphidodon flavilatus",4
"769","Katza","2021 a","Amblyglyphidodon indicus",7
"770","Katza","2021 a","Amphiprion bicinctus",6
"771","Katza","2021 a","Anampses meleagrides",1
"772","Katza","2021 a","Arothron diadematus",2
"773","Katza","2021 a","Aspidontus tractus",2
"774","Katza","2021 a","Atrosalarias fuscus",5
"775","Katza","2021 a","Calotomus viridescens",1
"776","Katza","2021 a","Cantherhines pardalis",2
"777","Katza","2021 a","Centropyge multispinis",7
"778","Katza","2021 a","Cephalopholis hemistiktos",2
"779","Katza","2021 a","Cephalopholis miniata",9
"780","Katza","2021 a","Chaetodon auriga",2
"781","Katza","2021 a","Chaetodon austriacus",11
"782","Katza","2021 a","Chaetodon fasciatus",4
"783","Katza","2021 a","Chaetodon paucifasciatus",5
"784","Katza","2021 a","Chaetodon trifascialis",4
"785","Katza","2021 a","Cheilinus abudjubbe",4
"786","Katza","2021 a","Cheilodipterus lachneri",25
"787","Katza","2021 a","Cheilodipterus novemstriatus",193
"788","Katza","2021 a","Cheilodipterus quinquelineatus",81
"789","Katza","2021 a","Chromis flavaxilla",28
"790","Katza","2021 a","Chromis ternatensis",11
"791","Katza","2021 a","Chromis viridis",1099
"792","Katza","2021 a","Chromis weberi",11
"793","Katza","2021 a","Cirripectes castaneus",6
"794","Katza","2021 a","Coris aygula",14
"795","Katza","2021 a","Coris caudimacula",4
"796","Katza","2021 a","Corythoichthys flavofasciatus",15
"797","Katza","2021 a","Corythoichthys schultzi",4
"798","Katza","2021 a","Ctenochaetus striatus",14
"799","Katza","2021 a","Cyclichthys spilostylus",3
"800","Katza","2021 a","Dascyllus abudafur",4
"801","Katza","2021 a","Dascyllus marginatus",21
"802","Katza","2021 a","Dascyllus trimaculatus",51
"803","Katza","2021 a","Diplodus noct",3
"804","Katza","2021 a","Dunckerocampus multiannulatus",1
"805","Katza","2021 a","Ecsenius aroni",10
"806","Katza","2021 a","Ecsenius frontalis",41
"807","Katza","2021 a","Ecsenius gravieri",5
"808","Katza","2021 a","Ecsenius nalolo",28
"809","Katza","2021 a","Epinephelus fasciatus",19
"810","Katza","2021 a","Eviota guttata",19
"811","Katza","2021 a","Eviota prasina",1
"812","Katza","2021 a","Eviota punyit",2
"813","Katza","2021 a","Fusigobius neophytus",7
"814","Katza","2021 a","Gerres oyena",1
"815","Katza","2021 a","Gnatholepis anjerensis",7
"816","Katza","2021 a","Gobiodon citrinus",9
"817","Katza","2021 a","Gobiodon reticulatus",2
"818","Katza","2021 a","Gobiodon rivulatus",9
"819","Katza","2021 a","Gomphosus caeruleus",11
"820","Katza","2021 a","Grammistes sexlineatus",1
"821","Katza","2021 a","Gymnothorax griseus",1
"822","Katza","2021 a","Gymnothorax nudivomer",1
"823","Katza","2021 a","Gymnothorax undulatus",1
"824","Katza","2021 a","Halichoeres hortulanus",1
"825","Katza","2021 a","Hipposcarus harid",1
"826","Katza","2021 a","Hologymnosus annulatus",1
"827","Katza","2021 a","Istigobius decoratus",29
"828","Katza","2021 a","Kyphosus vaigiensis",1
"829","Katza","2021 a","Labroides dimidiatus",6
"830","Katza","2021 a","Larabicus quadrilineatus",2
"831","Katza","2021 a","Lotilia graciliosa",3
"832","Katza","2021 a","Meiacanthus nigrolineatus",37
"833","Katza","2021 a","Monotaxis grandoculis",2
"834","Katza","2021 a","Myripristis murdjan",11
"835","Katza","2021 a","Neoglyphidodon melas",4
"836","Katza","2021 a","Neoniphon sammara",2
"837","Katza","2021 a","Neopomacentrus miryae",870
"838","Katza","2021 a","Ostorhinchus cyanosoma",408
"839","Katza","2021 a","Ostorhinchus fleurieu",6
"840","Katza","2021 a","Ostorhinchus nigrofasciatus",13
"841","Katza","2021 a","Ostracion cubicum",2
"842","Katza","2021 a","Ostracion cyanurus",2
"843","Katza","2021 a","Parapercis hexophtalma",1
"844","Katza","2021 a","Parupeneus cyclostomus",5
"845","Katza","2021 a","Parupeneus forsskali",30
"846","Katza","2021 a","Parupeneus macronemus",7
"847","Katza","2021 a","Pervagor randalli",1
"848","Katza","2021 a","Plagiotremus rhinorhynchos",4
"849","Katza","2021 a","Plagiotremus tapeinosoma",10
"850","Katza","2021 a","Plagiotremus townsendi",4
"851","Katza","2021 a","Pleurosicya micheli",2
"852","Katza","2021 a","Pomacentrus sulfureus",9
"853","Katza","2021 a","Pomacentrus trichrourus",270
"854","Katza","2021 a","Pomacentrus trilineatus",8
"855","Katza","2021 a","Pristiapogon exostigma",23
"856","Katza","2021 a","Pseudanthias squamipinnis",1863
"857","Katza","2021 a","Pseudocheilinus hexataenia",33
"858","Katza","2021 a","Pseudochromis fridmani",8
"859","Katza","2021 a","Pseudochromis olivaceus",32
"860","Katza","2021 a","Pseudochromis springeri",10
"861","Katza","2021 a","Pteragogus cryptus",1
"862","Katza","2021 a","Pterois miles",6
"863","Katza","2021 a","Pterois radiata",2
"864","Katza","2021 a","Pycnochromis dimidiatus",86
"865","Katza","2021 a","Sargocentron caudimaculatum",2
"866","Katza","2021 a","Sargocentron diadema",7
"867","Katza","2021 a","Saurida gracilis",2
"868","Katza","2021 a","Scarus ferrugineus",5
"869","Katza","2021 a","Scarus frenatus",1
"870","Katza","2021 a","Scarus fuscopurpureus",3
"871","Katza","2021 a","Scarus ghobban",2
"872","Katza","2021 a","Scarus niger",6
"873","Katza","2021 a","Sebastapistes cyanostigma",2
"874","Katza","2021 a","Siganus luridus",4
"875","Katza","2021 a","Siganus rivulatus",5
"876","Katza","2021 a","Stegastes lacrymatus",3
"877","Katza","2021 a","Stethojulis albovittata",1
"878","Katza","2021 a","Sufflamen albicaudatum",2
"879","Katza","2021 a","Synodus variegatus",81
"880","Katza","2021 a","Taeniamia fucata",85
"881","Katza","2021 a","Thalassoma rueppellii",231
"882","Katza","2021 a","Trimma barralli",2
"883","Katza","2021 a","Tripterygiidae sp.",2
"884","Katza","2021 a","Zebrasoma xanthurum",41
"885","Katza","2022 b","Abudefduf sexfasciatus",24
"886","Katza","2022 b","Abudefduf vaigiensis",10
"887","Katza","2022 b","Acanthurus nigrofuscus",22
"888","Katza","2022 b","Aethaloperca rogaa",2
"889","Katza","2022 b","Alloblennius pictus",6
"890","Katza","2022 b","Amblyglyphidodon flavilatus",33
"891","Katza","2022 b","Amblyglyphidodon indicus",225
"892","Katza","2022 b","Amphiprion bicinctus",4
"893","Katza","2022 b","Balistapus undulatus",1
"894","Katza","2022 b","Caesio lunaris",2
"895","Katza","2022 b","Cantherhines pardalis",2
"896","Katza","2022 b","Canthigaster cyanospilota",1
"897","Katza","2022 b","Canthigaster margaritata",1
"898","Katza","2022 b","Centropyge multispinis",6
"899","Katza","2022 b","Cephalopholis hemistiktos",7
"900","Katza","2022 b","Cephalopholis miniata",7
"901","Katza","2022 b","Chaetodon auriga",1
"902","Katza","2022 b","Chaetodon austriacus",2
"903","Katza","2022 b","Chaetodon fasciatus",3
"904","Katza","2022 b","Chaetodon paucifasciatus",3
"905","Katza","2022 b","Cheilinus lunulatus",2
"906","Katza","2022 b","Cheilodipterus lachneri",2
"907","Katza","2022 b","Cheilodipterus novemstriatus",958
"908","Katza","2022 b","Cheilodipterus quinquelineatus",146
"909","Katza","2022 b","Chlorurus gibbus",1
"910","Katza","2022 b","Chlorurus sordidus",4
"911","Katza","2022 b","Chromis flavaxilla",32
"912","Katza","2022 b","Chromis pembae",1
"913","Katza","2022 b","Chromis viridis",1197
"914","Katza","2022 b","Cirripectes castaneus",7
"915","Katza","2022 b","Coris aygula",2
"916","Katza","2022 b","Coris caudimacula",2
"917","Katza","2022 b","Coris variegata",1
"918","Katza","2022 b","Corythoichthys flavofasciatus",7
"919","Katza","2022 b","Corythoichthys nigripectus",1
"920","Katza","2022 b","Ctenochaetus striatus",8
"921","Katza","2022 b","Cyclichthys spilostylus",2
"922","Katza","2022 b","Dascyllus abudafur",1
"923","Katza","2022 b","Dascyllus marginatus",15
"924","Katza","2022 b","Dascyllus trimaculatus",51
"925","Katza","2022 b","Ecsenius aroni",2
"926","Katza","2022 b","Ecsenius frontalis",17
"927","Katza","2022 b","Ecsenius gravieri",7
"928","Katza","2022 b","Ecsenius nalolo",8
"929","Katza","2022 b","Epinephelus fasciatus",10
"930","Katza","2022 b","Eviota guttata",54
"931","Katza","2022 b","Eviota prasina",4
"932","Katza","2022 b","Eviota punyit",38
"933","Katza","2022 b","Fusigobius longispinus",3
"934","Katza","2022 b","Fusigobius neophytus",4
"935","Katza","2022 b","Gnatholepis anjerensis",79
"936","Katza","2022 b","Gobiodon citrinus",7
"937","Katza","2022 b","Gobiodon reticulatus",12
"938","Katza","2022 b","Gobiodon rivulatus",7
"939","Katza","2022 b","Gomphosus caeruleus",1
"940","Katza","2022 b","Grammistes sexlineatus",1
"941","Katza","2022 b","Gymnothorax nudivomer",1
"942","Katza","2022 b","Hemigymnus sexfasciatus",2
"943","Katza","2022 b","Hipposcarus harid",1
"944","Katza","2022 b","Istigobius decoratus",71
"945","Katza","2022 b","Labroides dimidiatus",5
"946","Katza","2022 b","Larabicus quadrilineatus",14
"947","Katza","2022 b","Lethrinus borbonicus",1
"948","Katza","2022 b","Meiacanthus nigrolineatus",2
"949","Katza","2022 b","Monotaxis grandoculis",1
"950","Katza","2022 b","Myripristis murdjan",18
"951","Katza","2022 b","Nectamia annularis",11
"952","Katza","2022 b","Neoglyphidodon melas",2
"953","Katza","2022 b","Neoniphon sammara",1
"954","Katza","2022 b","Neopomacentrus miryae",12
"955","Katza","2022 b","Ostorhinchus cyanosoma",682
"956","Katza","2022 b","Ostorhinchus nigrofasciatus",3
"957","Katza","2022 b","Ostracion cubicum",1
"958","Katza","2022 b","Ostracion cyanurus",1
"959","Katza","2022 b","Oxymonacanthus halli",2
"960","Katza","2022 b","Paracheilinus octotaenia",5
"961","Katza","2022 b","Paracirrhites forsteri",1
"962","Katza","2022 b","Parupeneus forsskali",22
"963","Katza","2022 b","Parupeneus macronemus",1
"964","Katza","2022 b","Pomacentrus sulfureus",16
"965","Katza","2022 b","Pomacentrus trichrourus",105
"966","Katza","2022 b","Pomacentrus trilineatus",10
"967","Katza","2022 b","Pristiapogon exostigma",1
"968","Katza","2022 b","Pseudanthias squamipinnis",524
"969","Katza","2022 b","Pseudocheilinus hexataenia",43
"970","Katza","2022 b","Pseudochromis fridmani",17
"971","Katza","2022 b","Pseudochromis olivaceus",43
"972","Katza","2022 b","Pseudochromis springeri",16
"973","Katza","2022 b","Pterois miles",1
"974","Katza","2022 b","Pterois radiata",3
"975","Katza","2022 b","Pycnochromis dimidiatus",66
"976","Katza","2022 b","Sargocentron caudimaculatum",4
"977","Katza","2022 b","Sargocentron diadema",1
"978","Katza","2022 b","Sargocentron rubrum",1
"979","Katza","2022 b","Saurida gracilis",5
"980","Katza","2022 b","Scarus ferrugineus",1
"981","Katza","2022 b","Scarus fuscopurpureus",2
"982","Katza","2022 b","Scarus niger",2
"983","Katza","2022 b","Scolopsis ghanam",6
"984","Katza","2022 b","Siganus luridus",6
"985","Katza","2022 b","Siganus stellatus",1
"986","Katza","2022 b","Stegastes lacrymatus",8
"987","Katza","2022 b","Stethojulis albovittata",3
"988","Katza","2022 b","Sufflamen albicaudatum",3
"989","Katza","2022 b","Synodus variegatus",2
"990","Katza","2022 b","Thalassoma rueppellii",67
"991","Katza","2022 b","Trimma avidori",3
"992","Katza","2022 b","Tripterygiidae sp.",2
"993","Katza","2022 b","Tylosurus choram",5
"994","Katza","2022 b","Zebrasoma xanthurum",25
"995","NR","2018 b","Abudefduf vaigiensis",7
"996","NR","2018 b","Acanthurus nigrofuscus",19
"997","NR","2018 b","Aethaloperca rogaa",3
"998","NR","2018 b","Amblyglyphidodon flavilatus",7
"999","NR","2018 b","Amblyglyphidodon indicus",7
"1000","NR","2018 b","Amphiprion bicinctus",8
"1001","NR","2018 b","Anampses twistii",2
"1002","NR","2018 b","Arothron diadematus",2
"1003","NR","2018 b","Aspidontus tractus",1
"1004","NR","2018 b","Atrosalarias fuscus",2
"1005","NR","2018 b","Balistapus undulatus",4
"1006","NR","2018 b","Bodianus anthioides",8
"1007","NR","2018 b","Cantherhines pardalis",1
"1008","NR","2018 b","Canthigaster pygmaea",1
"1009","NR","2018 b","Centropyge multispinis",12
"1010","NR","2018 b","Cephalopholis argus",1
"1011","NR","2018 b","Cephalopholis hemistiktos",7
"1012","NR","2018 b","Cephalopholis miniata",26
"1013","NR","2018 b","Chaetodon auriga",1
"1014","NR","2018 b","Chaetodon austriacus",7
"1015","NR","2018 b","Chaetodon fasciatus",5
"1016","NR","2018 b","Chaetodon melannotus",3
"1017","NR","2018 b","Chaetodon paucifasciatus",39
"1018","NR","2018 b","Chaetodon trifascialis",2
"1019","NR","2018 b","Cheilinus lunulatus",2
"1020","NR","2018 b","Cheilio inermis",1
"1021","NR","2018 b","Cheilodipterus novemstriatus",202
"1022","NR","2018 b","Cheilodipterus quinquelineatus",92
"1023","NR","2018 b","Chlorurus gibbus",3
"1024","NR","2018 b","Chlorurus sordidus",3
"1025","NR","2018 b","Chromis flavaxilla",1
"1026","NR","2018 b","Chromis viridis",1933
"1027","NR","2018 b","Chromis weberi",8
"1028","NR","2018 b","Cirrhitichthys oxycephalus",2
"1029","NR","2018 b","Cirripectes castaneus",5
"1030","NR","2018 b","Coris aygula",1
"1031","NR","2018 b","Coris variegata",2
"1032","NR","2018 b","Corythoichthys flavofasciatus",5
"1033","NR","2018 b","Corythoichthys schultzi",13
"1034","NR","2018 b","Ctenochaetus striatus",18
"1035","NR","2018 b","Cyclichthys spilostylus",5
"1036","NR","2018 b","Dascyllus marginatus",124
"1037","NR","2018 b","Ecsenius aroni",21
"1038","NR","2018 b","Ecsenius frontalis",37
"1039","NR","2018 b","Ecsenius gravieri",13
"1040","NR","2018 b","Ecsenius nalolo",3
"1041","NR","2018 b","Epinephelus fasciatus",14
"1042","NR","2018 b","Epinephelus tauvina",1
"1043","NR","2018 b","Eviota guttata",14
"1044","NR","2018 b","Eviota punyit",9
"1045","NR","2018 b","Fusigobius neophytus",6
"1046","NR","2018 b","Gnatholepis anjerensis",6
"1047","NR","2018 b","Gobiodon citrinus",12
"1048","NR","2018 b","Gobiodon reticulatus",1
"1049","NR","2018 b","Gobiodon rivulatus",1
"1050","NR","2018 b","Gomphosus caeruleus",2
"1051","NR","2018 b","Halichoeres hortulanus",1
"1052","NR","2018 b","Haliophis guttatus",1
"1053","NR","2018 b","Heniochus diphreutes",1
"1054","NR","2018 b","Heniochus intermedius",3
"1055","NR","2018 b","Hipposcarus harid",4
"1056","NR","2018 b","Hologymnosus annulatus",1
"1057","NR","2018 b","Istigobius decoratus",16
"1058","NR","2018 b","Labroides dimidiatus",13
"1059","NR","2018 b","Larabicus quadrilineatus",3
"1060","NR","2018 b","Lethrinus borbonicus",1
"1061","NR","2018 b","Lethrinus mahsena",1
"1062","NR","2018 b","Meiacanthus nigrolineatus",24
"1063","NR","2018 b","Myrichthys maculosus",1
"1064","NR","2018 b","Myripristis murdjan",1
"1065","NR","2018 b","Nectamia annularis",3
"1066","NR","2018 b","Neoglyphidodon melas",6
"1067","NR","2018 b","Neopomacentrus miryae",619
"1068","NR","2018 b","Odonus niger",2
"1069","NR","2018 b","Ostorhinchus cyanosoma",803
"1070","NR","2018 b","Ostorhinchus nigrofasciatus",25
"1071","NR","2018 b","Ostracion cubicum",7
"1072","NR","2018 b","Ostracion cyanurus",2
"1073","NR","2018 b","Oxymonacanthus halli",1
"1074","NR","2018 b","Paracheilinus octotaenia",2
"1075","NR","2018 b","Parapercis hexophtalma",6
"1076","NR","2018 b","Parupeneus forsskali",26
"1077","NR","2018 b","Parupeneus macronemus",13
"1078","NR","2018 b","Plagiotremus tapeinosoma",7
"1079","NR","2018 b","Pomacanthus imperator",2
"1080","NR","2018 b","Pomacentrus sulfureus",16
"1081","NR","2018 b","Pomacentrus trichrourus",215
"1082","NR","2018 b","Pomacentrus trilineatus",1
"1083","NR","2018 b","Pristiapogon exostigma",3
"1084","NR","2018 b","Pseudanthias squamipinnis",1831
"1085","NR","2018 b","Pseudocheilinus hexataenia",25
"1086","NR","2018 b","Pseudochromis fridmani",60
"1087","NR","2018 b","Pseudochromis olivaceus",38
"1088","NR","2018 b","Pseudochromis springeri",19
"1089","NR","2018 b","Pterois miles",1
"1090","NR","2018 b","Pterois radiata",2
"1091","NR","2018 b","Pycnochromis dimidiatus",127
"1092","NR","2018 b","Salarias fasciatus",1
