"","Site","Knoll","year_month","Species","Abundance"
"1504","Caves","8","2022 b","Thalassoma rueppellii",1
"1505","Caves","8","2022 b","Zebrasoma desjardinii",3
"1506","Caves","9","2018 b","Acanthurus nigrofuscus",4
"1507","Caves","9","2018 b","Amblyglyphidodon indicus",4
"1508","Caves","9","2018 b","Cantherhines pardalis",1
"1509","Caves","9","2018 b","Chaetodon trifascialis",1
"1510","Caves","9","2018 b","Cheilinus lunulatus",2
"1511","Caves","9","2018 b","Cheilodipterus quinquelineatus",2
"1512","Caves","9","2018 b","Chlorurus gibbus",1
"1513","Caves","9","2018 b","Chlorurus sordidus",6
"1514","Caves","9","2018 b","Ctenochaetus striatus",1
"1515","Caves","9","2018 b","Ecsenius frontalis",2
"1516","Caves","9","2018 b","Ecsenius gravieri",1
"1517","Caves","9","2018 b","Ecsenius nalolo",3
"1518","Caves","9","2018 b","Epinephelus fasciatus",3
"1519","Caves","9","2018 b","Meiacanthus nigrolineatus",1
"1520","Caves","9","2018 b","Neoglyphidodon melas",1
"1521","Caves","9","2018 b","Ostorhinchus cyanosoma",9
"1522","Caves","9","2018 b","Ostorhinchus nigrofasciatus",3
"1523","Caves","9","2018 b","Plagiotremus townsendi",1
"1524","Caves","9","2018 b","Pomacentrus sulfureus",3
"1525","Caves","9","2018 b","Pomacentrus trichrourus",10
"1526","Caves","9","2018 b","Pomacentrus trilineatus",2
"1527","Caves","9","2018 b","Pseudocheilinus hexataenia",1
"1528","Caves","9","2018 b","Pseudochromis olivaceus",4
"1529","Caves","9","2018 b","Pycnochromis dimidiatus",3
"1530","Caves","9","2018 b","Scarus fuscopurpureus",3
"1531","Caves","9","2018 b","Scarus niger",1
"1532","Caves","9","2018 b","Siganus luridus",1
"1533","Caves","9","2018 b","Siganus rivulatus",2
"1534","Caves","9","2018 b","Stethojulis albovittata",2
"1535","Caves","9","2018 b","Sufflamen albicaudatum",1
"1536","Caves","9","2018 b","Thalassoma rueppellii",4
"1537","Caves","9","2018 b","Zebrasoma xanthurum",3
"1538","Caves","9","2020 a","Epinephelus fasciatus",1
"1539","Caves","9","2020 a","Eviota guttata",1
"1540","Caves","9","2020 a","Neopomacentrus miryae",1
"1541","Caves","9","2020 a","Thalassoma rueppellii",2
"1542","Caves","9","2020 a","Tripterygiidae sp.",1
"1543","Caves","9","2020 b","Acanthurus nigrofuscus",1
"1544","Caves","9","2020 b","Chaetodon austriacus",2
"1545","Caves","9","2020 b","Ecsenius gravieri",1
"1546","Caves","9","2020 b","Gomphosus caeruleus",1
"1547","Caves","9","2020 b","Parupeneus forsskali",1
"1548","Caves","9","2020 b","Pomacentrus trichrourus",2
"1549","Caves","9","2020 b","Pseudochromis olivaceus",2
"1550","Caves","9","2020 b","Saurida gracilis",1
"1551","Caves","9","2020 b","Thalassoma rueppellii",2
"1552","Caves","9","2021 a","Ecsenius aroni",1
"1553","Caves","9","2021 a","Eviota guttata",1
"1554","Caves","9","2021 a","Parupeneus macronemus",2
"1555","Caves","9","2021 a","Pomacentrus trichrourus",4
"1556","Caves","9","2021 a","Pomacentrus trilineatus",1
"1557","Caves","9","2021 a","Pseudochromis fridmani",1
"1558","Caves","9","2021 a","Pterois miles",1
"1559","Caves","9","2021 a","Siganus luridus",1
"1560","Caves","9","2021 a","Sufflamen albicaudatum",1
"1561","Caves","9","2021 a","Thalassoma rueppellii",5
"1562","Caves","9","2021 a","Zebrasoma xanthurum",1
"1563","Caves","9","2022 b","Acanthurus nigrofuscus",1
"1564","Caves","9","2022 b","Epinephelus fasciatus",3
"1565","Caves","9","2022 b","Eviota guttata",3
"1566","Caves","9","2022 b","Gomphosus caeruleus",2
"1567","Caves","9","2022 b","Gymnothorax griseus",1
"1568","Caves","9","2022 b","Parupeneus cyclostomus",2
"1569","Caves","9","2022 b","Pseudochromis fridmani",1
"1570","Caves","9","2022 b","Siganus luridus",1
"1571","Caves","9","2022 b","Sufflamen albicaudatum",1
"1572","Caves","9","2022 b","Thalassoma rueppellii",1
"1573","Katza","1","2018 b","Acanthurus nigrofuscus",1
"1574","Katza","1","2018 b","Cantherhines pardalis",1
"1575","Katza","1","2018 b","Centropyge multispinis",2
"1576","Katza","1","2018 b","Cephalopholis miniata",1
"1577","Katza","1","2018 b","Chaetodon auriga",2
"1578","Katza","1","2018 b","Chaetodon paucifasciatus",2
"1579","Katza","1","2018 b","Cheilodipterus novemstriatus",22
"1580","Katza","1","2018 b","Chromis ternatensis",1
"1581","Katza","1","2018 b","Chromis viridis",150
"1582","Katza","1","2018 b","Cirripectes castaneus",1
"1583","Katza","1","2018 b","Ctenogobiops maculosus",1
"1584","Katza","1","2018 b","Cyclichthys spilostylus",1
"1585","Katza","1","2018 b","Dascyllus marginatus",1
"1586","Katza","1","2018 b","Dascyllus trimaculatus",2
"1587","Katza","1","2018 b","Epinephelus fasciatus",1
"1588","Katza","1","2018 b","Ostorhinchus cyanosoma",80
"1589","Katza","1","2018 b","Ostorhinchus nigrofasciatus",3
"1590","Katza","1","2018 b","Parupeneus forsskali",3
"1591","Katza","1","2018 b","Pomacentrus trichrourus",9
"1592","Katza","1","2018 b","Pseudanthias squamipinnis",100
"1593","Katza","1","2018 b","Pseudocheilinus hexataenia",1
"1594","Katza","1","2018 b","Pseudochromis olivaceus",1
"1595","Katza","1","2018 b","Pterois miles",1
"1596","Katza","1","2018 b","Pycnochromis dimidiatus",2
"1597","Katza","1","2018 b","Scolopsis ghanam",1
"1598","Katza","1","2018 b","Thalassoma lunare",2
"1599","Katza","1","2018 b","Zebrasoma xanthurum",1
"1600","Katza","1","2020 a","Acanthurus nigrofuscus",1
"1601","Katza","1","2020 a","Aethaloperca rogaa",1
"1602","Katza","1","2020 a","Anampses meleagrides",1
"1603","Katza","1","2020 a","Centropyge multispinis",1
"1604","Katza","1","2020 a","Cephalopholis miniata",2
"1605","Katza","1","2020 a","Chaetodon auriga",2
"1606","Katza","1","2020 a","Chromis flavaxilla",3
"1607","Katza","1","2020 a","Chromis viridis",46
"1608","Katza","1","2020 a","Coris aygula",2
"1609","Katza","1","2020 a","Corythoichthys flavofasciatus",1
"1610","Katza","1","2020 a","Corythoichthys schultzi",1
"1611","Katza","1","2020 a","Cyclichthys spilostylus",1
"1612","Katza","1","2020 a","Dascyllus trimaculatus",8
"1613","Katza","1","2020 a","Gobiodon citrinus",2
"1614","Katza","1","2020 a","Gomphosus caeruleus",1
"1615","Katza","1","2020 a","Labroides dimidiatus",1
"1616","Katza","1","2020 a","Neopomacentrus miryae",150
"1617","Katza","1","2020 a","Ostorhinchus nigrofasciatus",1
"1618","Katza","1","2020 a","Pomacentrus trichrourus",3
"1619","Katza","1","2020 a","Pseudanthias squamipinnis",89
"1620","Katza","1","2020 a","Pseudocheilinus hexataenia",1
"1621","Katza","1","2020 a","Pseudochromis fridmani",1
"1622","Katza","1","2020 a","Pseudochromis olivaceus",1
"1623","Katza","1","2020 a","Pterois miles",1
"1624","Katza","1","2020 a","Pycnochromis dimidiatus",5
"1625","Katza","1","2020 a","Thalassoma rueppellii",5
"1626","Katza","1","2020 a","Variola louti",2
"1627","Katza","1","2020 a","Zebrasoma xanthurum",1
"1628","Katza","1","2020 b","Abudefduf vaigiensis",2
"1629","Katza","1","2020 b","Acanthurus nigrofuscus",1
"1630","Katza","1","2020 b","Amblyglyphidodon indicus",2
"1631","Katza","1","2020 b","Amphiprion bicinctus",1
"1632","Katza","1","2020 b","Anampses meleagrides",1
"1633","Katza","1","2020 b","Bodianus anthioides",2
"1634","Katza","1","2020 b","Centropyge multispinis",2
"1635","Katza","1","2020 b","Cephalopholis miniata",1
"1636","Katza","1","2020 b","Chaetodon auriga",2
"1637","Katza","1","2020 b","Cheilodipterus quinquelineatus",115
"1638","Katza","1","2020 b","Chlorurus gibbus",1
"1639","Katza","1","2020 b","Chlorurus sordidus",1
"1640","Katza","1","2020 b","Chromis viridis",50
"1641","Katza","1","2020 b","Corythoichthys flavofasciatus",3
"1642","Katza","1","2020 b","Ctenochaetus striatus",1
"1643","Katza","1","2020 b","Cyclichthys spilostylus",1
"1644","Katza","1","2020 b","Dascyllus marginatus",2
"1645","Katza","1","2020 b","Dascyllus trimaculatus",10
"1646","Katza","1","2020 b","Ecsenius frontalis",4
"1647","Katza","1","2020 b","Eviota guttata",4
"1648","Katza","1","2020 b","Gnatholepis anjerensis",4
"1649","Katza","1","2020 b","Gomphosus caeruleus",1
"1650","Katza","1","2020 b","Grammistes sexlineatus",1
"1651","Katza","1","2020 b","Istigobius decoratus",1
"1652","Katza","1","2020 b","Labroides dimidiatus",2
"1653","Katza","1","2020 b","Larabicus quadrilineatus",5
"1654","Katza","1","2020 b","Neopomacentrus miryae",20
"1655","Katza","1","2020 b","Ostorhinchus cyanosoma",25
"1656","Katza","1","2020 b","Paracheilinus octotaenia",1
"1657","Katza","1","2020 b","Parupeneus forsskali",6
"1658","Katza","1","2020 b","Pomacentrus trichrourus",10
"1659","Katza","1","2020 b","Pseudanthias squamipinnis",1
"1660","Katza","1","2020 b","Pseudocheilinus hexataenia",1
"1661","Katza","1","2020 b","Pseudochromis fridmani",2
"1662","Katza","1","2020 b","Pseudochromis olivaceus",1
"1663","Katza","1","2020 b","Pseudochromis springeri",1
"1664","Katza","1","2020 b","Pterois miles",9
"1665","Katza","1","2020 b","Pterois radiata",1
"1666","Katza","1","2020 b","Pycnochromis dimidiatus",3
"1667","Katza","1","2020 b","Scolopsis ghanam",1
"1668","Katza","1","2020 b","Sufflamen albicaudatum",1
"1669","Katza","1","2020 b","Synodus variegatus",1
"1670","Katza","1","2020 b","Thalassoma rueppellii",1
"1671","Katza","1","2020 b","Variola louti",1
"1672","Katza","1","2020 b","Zebrasoma xanthurum",2
"1673","Katza","1","2021 a","Acanthurus nigrofuscus",1
"1674","Katza","1","2021 a","Centropyge multispinis",1
"1675","Katza","1","2021 a","Cephalopholis miniata",1
"1676","Katza","1","2021 a","Cheilodipterus lachneri",24
"1677","Katza","1","2021 a","Cheilodipterus novemstriatus",35
"1678","Katza","1","2021 a","Cheilodipterus quinquelineatus",1
"1679","Katza","1","2021 a","Chromis flavaxilla",10
"1680","Katza","1","2021 a","Chromis viridis",28
"1681","Katza","1","2021 a","Ctenochaetus striatus",1
"1682","Katza","1","2021 a","Cyclichthys spilostylus",1
"1683","Katza","1","2021 a","Dascyllus marginatus",1
"1684","Katza","1","2021 a","Dascyllus trimaculatus",5
"1685","Katza","1","2021 a","Ecsenius frontalis",5
"1686","Katza","1","2021 a","Ecsenius gravieri",2
"1687","Katza","1","2021 a","Epinephelus fasciatus",1
"1688","Katza","1","2021 a","Eviota guttata",1
"1689","Katza","1","2021 a","Fusigobius neophytus",2
"1690","Katza","1","2021 a","Istigobius decoratus",2
"1691","Katza","1","2021 a","Labroides dimidiatus",1
"1692","Katza","1","2021 a","Meiacanthus nigrolineatus",4
"1693","Katza","1","2021 a","Neopomacentrus miryae",10
"1694","Katza","1","2021 a","Ostorhinchus cyanosoma",11
"1695","Katza","1","2021 a","Ostorhinchus nigrofasciatus",1
"1696","Katza","1","2021 a","Plagiotremus rhinorhynchos",1
"1697","Katza","1","2021 a","Pomacentrus trichrourus",8
"1698","Katza","1","2021 a","Pristiapogon exostigma",7
"1699","Katza","1","2021 a","Pseudanthias squamipinnis",450
"1700","Katza","1","2021 a","Pseudocheilinus hexataenia",1
"1701","Katza","1","2021 a","Pseudochromis fridmani",1
"1702","Katza","1","2021 a","Pseudochromis springeri",3
"1703","Katza","1","2021 a","Pterois miles",5
"1704","Katza","1","2021 a","Pterois radiata",2
"1705","Katza","1","2021 a","Pycnochromis dimidiatus",8
"1706","Katza","1","2021 a","Scarus fuscopurpureus",3
"1707","Katza","1","2021 a","Synodus variegatus",9
"1708","Katza","1","2021 a","Thalassoma rueppellii",8
"1709","Katza","1","2022 b","Amblyglyphidodon indicus",7
"1710","Katza","1","2022 b","Centropyge multispinis",1
"1711","Katza","1","2022 b","Cheilodipterus novemstriatus",85
"1712","Katza","1","2022 b","Cheilodipterus quinquelineatus",4
"1713","Katza","1","2022 b","Chromis flavaxilla",7
"1714","Katza","1","2022 b","Chromis viridis",70
"1715","Katza","1","2022 b","Dascyllus marginatus",2
"1716","Katza","1","2022 b","Dascyllus trimaculatus",7
"1717","Katza","1","2022 b","Ecsenius aroni",1
"1718","Katza","1","2022 b","Ecsenius frontalis",2
"1719","Katza","1","2022 b","Epinephelus fasciatus",2
"1720","Katza","1","2022 b","Eviota guttata",1
"1721","Katza","1","2022 b","Eviota prasina",1
"1722","Katza","1","2022 b","Eviota punyit",11
"1723","Katza","1","2022 b","Gnatholepis anjerensis",7
"1724","Katza","1","2022 b","Gymnothorax nudivomer",1
"1725","Katza","1","2022 b","Istigobius decoratus",1
"1726","Katza","1","2022 b","Larabicus quadrilineatus",3
"1727","Katza","1","2022 b","Ostorhinchus cyanosoma",134
"1728","Katza","1","2022 b","Oxymonacanthus halli",1
"1729","Katza","1","2022 b","Pseudanthias squamipinnis",121
"1730","Katza","1","2022 b","Pseudocheilinus hexataenia",3
"1731","Katza","1","2022 b","Pseudochromis fridmani",4
"1732","Katza","1","2022 b","Pseudochromis olivaceus",4
"1733","Katza","1","2022 b","Pseudochromis springeri",5
"1734","Katza","1","2022 b","Pterois radiata",3
"1735","Katza","1","2022 b","Pycnochromis dimidiatus",4
"1736","Katza","1","2022 b","Scolopsis ghanam",1
"1737","Katza","1","2022 b","Thalassoma rueppellii",2
"1738","Katza","10","2018 b","Acanthurus nigrofuscus",6
"1739","Katza","10","2018 b","Amblyglyphidodon indicus",2
"1740","Katza","10","2018 b","Cheilodipterus quinquelineatus",1
"1741","Katza","10","2018 b","Dascyllus trimaculatus",2
"1742","Katza","10","2018 b","Ecsenius nalolo",3
"1743","Katza","10","2018 b","Heniochus intermedius",1
"1744","Katza","10","2018 b","Istigobius decoratus",2
"1745","Katza","10","2018 b","Meiacanthus nigrolineatus",3
"1746","Katza","10","2018 b","Myripristis murdjan",3
"1747","Katza","10","2018 b","Neopomacentrus miryae",4
"1748","Katza","10","2018 b","Ostorhinchus cyanosoma",24
"1749","Katza","10","2018 b","Ostorhinchus nigrofasciatus",1
"1750","Katza","10","2018 b","Ostracion cubicum",2
"1751","Katza","10","2018 b","Parupeneus forsskali",6
"1752","Katza","10","2018 b","Pomacentrus sulfureus",1
"1753","Katza","10","2018 b","Pomacentrus trichrourus",11
"1754","Katza","10","2018 b","Pseudocheilinus hexataenia",1
"1755","Katza","10","2018 b","Pseudochromis olivaceus",1
"1756","Katza","10","2018 b","Stethojulis albovittata",1
"1757","Katza","10","2018 b","Thalassoma rueppellii",6
"1758","Katza","10","2018 b","Zebrasoma xanthurum",1
"1759","Katza","10","2020 b","Abudefduf vaigiensis",2
"1760","Katza","10","2020 b","Acanthurus nigrofuscus",2
"1761","Katza","10","2020 b","Amblyglyphidodon indicus",6
"1762","Katza","10","2020 b","Chaetodon austriacus",1
"1763","Katza","10","2020 b","Chaetodon trifascialis",1
"1764","Katza","10","2020 b","Dascyllus trimaculatus",4
"1765","Katza","10","2020 b","Ecsenius nalolo",2
"1766","Katza","10","2020 b","Epinephelus fasciatus",1
"1767","Katza","10","2020 b","Eviota guttata",4
"1768","Katza","10","2020 b","Gerres oyena",2
"1769","Katza","10","2020 b","Halichoeres marginatus",1
"1770","Katza","10","2020 b","Istigobius decoratus",3
"1771","Katza","10","2020 b","Myripristis murdjan",2
"1772","Katza","10","2020 b","Ostorhinchus cyanosoma",35
"1773","Katza","10","2020 b","Parupeneus forsskali",2
"1774","Katza","10","2020 b","Pomacentrus trichrourus",4
"1775","Katza","10","2020 b","Pseudochromis olivaceus",1
"1776","Katza","10","2020 b","Pterois radiata",1
"1777","Katza","10","2020 b","Sargocentron diadema",1
"1778","Katza","10","2020 b","Scolopsis ghanam",6
"1779","Katza","10","2020 b","Thalassoma lunare",1
"1780","Katza","10","2020 b","Thalassoma rueppellii",2
"1781","Katza","10","2020 b","Tripterygiidae sp.",1
"1782","Katza","10","2020 b","Zebrasoma xanthurum",1
"1783","Katza","10","2021 a","Abudefduf vaigiensis",5
"1784","Katza","10","2021 a","Acanthurus nigrofuscus",2
"1785","Katza","10","2021 a","Arothron diadematus",1
"1786","Katza","10","2021 a","Atrosalarias fuscus",1
"1787","Katza","10","2021 a","Chaetodon austriacus",2
"1788","Katza","10","2021 a","Chaetodon trifascialis",1
"1789","Katza","10","2021 a","Cheilodipterus lachneri",1
"1790","Katza","10","2021 a","Coris aygula",1
"1791","Katza","10","2021 a","Dascyllus trimaculatus",2
"1792","Katza","10","2021 a","Diplodus noct",1
"1793","Katza","10","2021 a","Ecsenius nalolo",1
"1794","Katza","10","2021 a","Monotaxis grandoculis",2
"1795","Katza","10","2021 a","Myripristis murdjan",3
"1796","Katza","10","2021 a","Ostorhinchus cyanosoma",1
"1797","Katza","10","2021 a","Pomacentrus trichrourus",7
"1798","Katza","10","2021 a","Pseudanthias squamipinnis",1
"1799","Katza","10","2021 a","Pseudochromis olivaceus",1
"1800","Katza","10","2021 a","Scarus niger",1
"1801","Katza","10","2021 a","Synodus variegatus",1
"1802","Katza","10","2021 a","Thalassoma rueppellii",7
"1803","Katza","10","2021 a","Zebrasoma xanthurum",2
"1804","Katza","10","2022 b","Abudefduf vaigiensis",3
"1805","Katza","10","2022 b","Acanthurus nigrofuscus",1
"1806","Katza","10","2022 b","Amblyglyphidodon indicus",21
"1807","Katza","10","2022 b","Cantherhines pardalis",1
"1808","Katza","10","2022 b","Cheilodipterus novemstriatus",1
"1809","Katza","10","2022 b","Chlorurus gibbus",1
"1810","Katza","10","2022 b","Cirripectes castaneus",1
"1811","Katza","10","2022 b","Ctenochaetus striatus",1
"1812","Katza","10","2022 b","Dascyllus trimaculatus",4
"1813","Katza","10","2022 b","Ecsenius nalolo",1
"1814","Katza","10","2022 b","Epinephelus fasciatus",1
"1815","Katza","10","2022 b","Istigobius decoratus",2
"1816","Katza","10","2022 b","Myripristis murdjan",3
"1817","Katza","10","2022 b","Ostorhinchus cyanosoma",78
"1818","Katza","10","2022 b","Pomacentrus sulfureus",1
"1819","Katza","10","2022 b","Pomacentrus trichrourus",4
"1820","Katza","10","2022 b","Pseudocheilinus hexataenia",1
"1821","Katza","10","2022 b","Pseudochromis fridmani",1
"1822","Katza","10","2022 b","Pseudochromis olivaceus",1
"1823","Katza","10","2022 b","Scarus niger",1
"1824","Katza","10","2022 b","Thalassoma rueppellii",1
"1825","Katza","11","2018 b","Amblyeleotris steinitzi",1
"1826","Katza","11","2018 b","Cephalopholis miniata",1
"1827","Katza","11","2018 b","Cheilinus abudjubbe",1
"1828","Katza","11","2018 b","Cheilodipterus quinquelineatus",7
"1829","Katza","11","2018 b","Chlorurus sordidus",1
"1830","Katza","11","2018 b","Chromis viridis",60
"1831","Katza","11","2018 b","Dascyllus marginatus",16
"1832","Katza","11","2018 b","Ecsenius aroni",7
"1833","Katza","11","2018 b","Meiacanthus nigrolineatus",1
"1834","Katza","11","2018 b","Neopomacentrus miryae",1
"1835","Katza","11","2018 b","Ostorhinchus cyanosoma",15
"1836","Katza","11","2018 b","Pomacentrus sulfureus",3
"1837","Katza","11","2018 b","Pomacentrus trichrourus",24
"1838","Katza","11","2018 b","Pseudanthias squamipinnis",10
"1839","Katza","11","2018 b","Pseudochromis fridmani",1
"1840","Katza","11","2018 b","Pseudochromis springeri",3
"1841","Katza","11","2018 b","Pycnochromis dimidiatus",3
"1842","Katza","11","2018 b","Sargocentron caudimaculatum",2
"1843","Katza","11","2018 b","Thalassoma rueppellii",1
"1844","Katza","11","2018 b","Zebrasoma xanthurum",2
"1845","Katza","11","2020 b","Abudefduf vaigiensis",1
"1846","Katza","11","2020 b","Acanthurus nigrofuscus",4
"1847","Katza","11","2020 b","Amblyglyphidodon indicus",3
"1848","Katza","11","2020 b","Cephalopholis miniata",2
"1849","Katza","11","2020 b","Cetoscarus bicolor",1
"1850","Katza","11","2020 b","Cheilodipterus novemstriatus",18
"1851","Katza","11","2020 b","Cheilodipterus quinquelineatus",71
"1852","Katza","11","2020 b","Chlorurus sordidus",3
"1853","Katza","11","2020 b","Chromis flavaxilla",4
"1854","Katza","11","2020 b","Coris aygula",1
"1855","Katza","11","2020 b","Ctenochaetus striatus",1
"1856","Katza","11","2020 b","Dascyllus trimaculatus",1
"1857","Katza","11","2020 b","Ecsenius frontalis",2
"1858","Katza","11","2020 b","Ecsenius nalolo",2
"1859","Katza","11","2020 b","Eviota guttata",2
"1860","Katza","11","2020 b","Gomphosus caeruleus",2
"1861","Katza","11","2020 b","Hyporhamphus gamberur",1
"1862","Katza","11","2020 b","Istigobius decoratus",2
"1863","Katza","11","2020 b","Labroides dimidiatus",2
"1864","Katza","11","2020 b","Larabicus quadrilineatus",1
"1865","Katza","11","2020 b","Nectamia annularis",1
"1866","Katza","11","2020 b","Nectamia zebrina",1
"1867","Katza","11","2020 b","Neopomacentrus miryae",30
"1868","Katza","11","2020 b","Ostorhinchus cyanosoma",80
"1869","Katza","11","2020 b","Ostorhinchus nigrofasciatus",2
"1870","Katza","11","2020 b","Parupeneus forsskali",3
"1871","Katza","11","2020 b","Pomacanthus imperator",1
"1872","Katza","11","2020 b","Pomacentrus sulfureus",2
"1873","Katza","11","2020 b","Pomacentrus trichrourus",4
"1874","Katza","11","2020 b","Pomacentrus trilineatus",2
"1875","Katza","11","2020 b","Pseudanthias squamipinnis",12
"1876","Katza","11","2020 b","Pseudobalistes fuscus",1
"1877","Katza","11","2020 b","Pseudocheilinus hexataenia",3
"1878","Katza","11","2020 b","Pseudochromis fridmani",1
"1879","Katza","11","2020 b","Pseudochromis olivaceus",4
"1880","Katza","11","2020 b","Pycnochromis dimidiatus",2
"1881","Katza","11","2020 b","Scarus niger",1
"1882","Katza","11","2020 b","Siganus rivulatus",1
"1883","Katza","11","2020 b","Stethojulis albovittata",2
"1884","Katza","11","2020 b","Sufflamen albicaudatum",1
"1885","Katza","11","2020 b","Thalassoma rueppellii",4
"1886","Katza","11","2020 b","Variola louti",1
"1887","Katza","11","2021 a","Acanthurus nigrofuscus",1
"1888","Katza","11","2021 a","Anampses meleagrides",1
"1889","Katza","11","2021 a","Atrosalarias fuscus",1
"1890","Katza","11","2021 a","Cephalopholis miniata",1
"1891","Katza","11","2021 a","Chaetodon austriacus",2
"1892","Katza","11","2021 a","Chaetodon paucifasciatus",1
"1893","Katza","11","2021 a","Cheilodipterus novemstriatus",43
"1894","Katza","11","2021 a","Cheilodipterus quinquelineatus",19
"1895","Katza","11","2021 a","Chromis ternatensis",5
"1896","Katza","11","2021 a","Chromis viridis",100
"1897","Katza","11","2021 a","Chromis weberi",4
"1898","Katza","11","2021 a","Cirripectes castaneus",1
"1899","Katza","11","2021 a","Coris aygula",1
"1900","Katza","11","2021 a","Corythoichthys schultzi",1
"1901","Katza","11","2021 a","Ctenochaetus striatus",1
"1902","Katza","11","2021 a","Ecsenius frontalis",2
"1903","Katza","11","2021 a","Ecsenius nalolo",4
"1904","Katza","11","2021 a","Gnatholepis anjerensis",1
"1905","Katza","11","2021 a","Gomphosus caeruleus",2
"1906","Katza","11","2021 a","Istigobius decoratus",6
"1907","Katza","11","2021 a","Labroides dimidiatus",2
"1908","Katza","11","2021 a","Larabicus quadrilineatus",1
"1909","Katza","11","2021 a","Neoniphon sammara",2
"1910","Katza","11","2021 a","Ostorhinchus cyanosoma",13
"1911","Katza","11","2021 a","Ostorhinchus nigrofasciatus",2
"1912","Katza","11","2021 a","Ostracion cubicum",1
"1913","Katza","11","2021 a","Plagiotremus rhinorhynchos",1
"1914","Katza","11","2021 a","Pomacentrus sulfureus",1
"1915","Katza","11","2021 a","Pomacentrus trichrourus",20
"1916","Katza","11","2021 a","Pristiapogon exostigma",4
"1917","Katza","11","2021 a","Pseudanthias squamipinnis",4
"1918","Katza","11","2021 a","Pseudocheilinus hexataenia",4
"1919","Katza","11","2021 a","Pseudochromis fridmani",2
"1920","Katza","11","2021 a","Pseudochromis olivaceus",3
"1921","Katza","11","2021 a","Pycnochromis dimidiatus",2
"1922","Katza","11","2021 a","Sargocentron caudimaculatum",1
"1923","Katza","11","2021 a","Sargocentron diadema",1
"1924","Katza","11","2021 a","Scarus ferrugineus",1
"1925","Katza","11","2021 a","Scarus niger",1
"1926","Katza","11","2021 a","Synodus variegatus",2
"1927","Katza","11","2021 a","Thalassoma rueppellii",14
"1928","Katza","11","2022 b","Acanthurus nigrofuscus",4
"1929","Katza","11","2022 b","Amblyglyphidodon indicus",18
"1930","Katza","11","2022 b","Cephalopholis miniata",1
"1931","Katza","11","2022 b","Cheilodipterus lachneri",1
"1932","Katza","11","2022 b","Cheilodipterus novemstriatus",126
"1933","Katza","11","2022 b","Cheilodipterus quinquelineatus",5
"1934","Katza","11","2022 b","Chlorurus sordidus",3
"1935","Katza","11","2022 b","Chromis flavaxilla",4
"1936","Katza","11","2022 b","Chromis viridis",70
"1937","Katza","11","2022 b","Cirripectes castaneus",3
"1938","Katza","11","2022 b","Coris variegata",1
"1939","Katza","11","2022 b","Dascyllus trimaculatus",4
"1940","Katza","11","2022 b","Ecsenius frontalis",5
"1941","Katza","11","2022 b","Ecsenius nalolo",1
"1942","Katza","11","2022 b","Eviota guttata",12
"1943","Katza","11","2022 b","Eviota punyit",2
"1944","Katza","11","2022 b","Fusigobius longispinus",1
"1945","Katza","11","2022 b","Gnatholepis anjerensis",4
"1946","Katza","11","2022 b","Gobiodon reticulatus",6
"1947","Katza","11","2022 b","Gobiodon rivulatus",2
"1948","Katza","11","2022 b","Gomphosus caeruleus",1
"1949","Katza","11","2022 b","Istigobius decoratus",3
"1950","Katza","11","2022 b","Labroides dimidiatus",3
"1951","Katza","11","2022 b","Larabicus quadrilineatus",2
"1952","Katza","11","2022 b","Myripristis murdjan",1
"1953","Katza","11","2022 b","Nectamia annularis",4
"1954","Katza","11","2022 b","Neoniphon sammara",1
"1955","Katza","11","2022 b","Ostorhinchus cyanosoma",5
"1956","Katza","11","2022 b","Ostorhinchus nigrofasciatus",2
"1957","Katza","11","2022 b","Pomacentrus sulfureus",3
"1958","Katza","11","2022 b","Pomacentrus trichrourus",17
"1959","Katza","11","2022 b","Pristiapogon exostigma",1
"1960","Katza","11","2022 b","Pseudanthias squamipinnis",3
"1961","Katza","11","2022 b","Pseudocheilinus hexataenia",7
"1962","Katza","11","2022 b","Pseudochromis fridmani",1
"1963","Katza","11","2022 b","Pseudochromis olivaceus",2
"1964","Katza","11","2022 b","Pycnochromis dimidiatus",3
"1965","Katza","11","2022 b","Sargocentron caudimaculatum",2
"1966","Katza","11","2022 b","Scarus ferrugineus",1
"1967","Katza","11","2022 b","Siganus luridus",2
"1968","Katza","11","2022 b","Stegastes lacrymatus",1
"1969","Katza","11","2022 b","Stethojulis albovittata",3
"1970","Katza","11","2022 b","Thalassoma rueppellii",5
"1971","Katza","11","2022 b","Zebrasoma xanthurum",1
"1972","Katza","12","2018 b","Acanthurus nigrofuscus",1
"1973","Katza","12","2018 b","Amphiprion bicinctus",1
"1974","Katza","12","2018 b","Anampses twistii",1
"1975","Katza","12","2018 b","Centropyge multispinis",1
"1976","Katza","12","2018 b","Cephalopholis miniata",1
"1977","Katza","12","2018 b","Chaetodon austriacus",1
"1978","Katza","12","2018 b","Chaetodon fasciatus",1
"1979","Katza","12","2018 b","Cheilodipterus novemstriatus",2
"1980","Katza","12","2018 b","Chromis viridis",20
"1981","Katza","12","2018 b","Corythoichthys schultzi",1
"1982","Katza","12","2018 b","Ecsenius frontalis",1
"1983","Katza","12","2018 b","Ecsenius gravieri",1
"1984","Katza","12","2018 b","Gobiodon citrinus",2
"1985","Katza","12","2018 b","Grammistes sexlineatus",1
"1986","Katza","12","2018 b","Istigobius decoratus",2
